name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
GBS-A_Feb24_bin.001,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,18.5,0.3,0,2.1,0.2,0.2,0,0.1,0,20.7,42.2
GBS-W_Jun24_bin.059,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,2.8,1.6,0,2.5,2.2,0.6,0.5,1.3,0,16.9,28.4
GBS-A_Feb24_bin.063,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__,21,3.8,0.1,4.5,0.6,3,0.1,0,0,16.6,49.8
GBS-B_Feb24_bin.043,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,153.9,0.7,0,6.4,0.4,0.1,0,0.1,0,15.1,176.6
GBS-W_Jun24_bin.054,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__,0,0.1,2.1,0,0,0.6,3.1,0,61.1,14.9,82
GBS-W_Jun24_bin.010,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__JANXEW01;s__,13.7,0.3,0.2,0.9,0.1,1.1,0.1,0.1,0,11.5,27.9
GBS-W_Jun24_bin.048,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__NBVN01;g__DRZP01;s__,85,3.4,0,4.2,0.8,0.9,0.1,0.3,0,11.5,106.2
GBS-A_Feb24_bin.005,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,2.9,0.1,0,0.3,0.2,0,0,0,0,11,14.6
GBS-B_Feb24_bin.013,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,178.1,1.8,0,13,1.3,0.9,0,0.1,0,10.2,205.3
GBS-A_Feb24_bin.029,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,8.5,0.7,0.1,1.3,0.8,0.3,0.1,0.7,0,9.7,22.1
